
# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
#   DataSource = ERA5 (final data) or ERA5T (initial release data) from ECMWF
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20240813
#   ASLi_software_version = 0.0.1
#   data_version = 20240813
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres,DataSource
1959-01-01,205.5,-66.0,976.2394,984.38385,-8.14447,ERA5
1959-02-01,179.25,-69.5,979.9387,988.9862,-9.047485,ERA5
1959-03-01,200.75,-72.75,977.165,983.80804,-6.6430664,ERA5
1959-04-01,197.75,-70.5,990.1825,996.50446,-6.3219604,ERA5
1959-05-01,284.75,-67.5,981.5581,992.8397,-11.281616,ERA5
1959-06-01,240.0,-69.75,975.5156,985.3214,-9.805786,ERA5
1959-07-01,218.75,-68.0,979.3681,985.42035,-6.052246,ERA5
1959-08-01,250.0,-73.0,989.3931,995.53314,-6.1400146,ERA5
1959-09-01,217.5,-74.75,974.9856,984.1268,-9.141174,ERA5
1959-10-01,208.0,-71.0,973.585,983.0567,-9.47168,ERA5
1959-11-01,200.0,-71.0,970.8169,980.88416,-10.067261,ERA5
1959-12-01,248.75,-64.0,981.34814,986.3588,-5.010681,ERA5
1960-01-01,180.5,-67.75,982.4,988.8063,-6.40625,ERA5
1960-02-01,260.25,-69.5,980.2494,986.1306,-5.8812256,ERA5
1960-03-01,213.0,-74.25,974.08624,982.5341,-8.447876,ERA5
1960-04-01,286.75,-66.5,981.58563,988.3111,-6.725464,ERA5
1960-05-01,208.0,-73.5,978.485,984.70953,-6.2245483,ERA5
1960-06-01,199.0,-75.5,981.0156,991.58093,-10.565308,ERA5
1960-07-01,203.75,-76.25,975.5694,984.45514,-8.885742,ERA5
1960-08-01,260.75,-71.25,978.57874,986.58417,-8.005432,ERA5
1960-09-01,226.0,-72.0,969.8725,980.1858,-10.313293,ERA5
